iter	Passed	Remaining
549	5887	48155550	5896	48055551	5902	47955552	5915	47855553	5922	47655554	5936	47655555	5946	47485556	5952	47355557	5964	47255558	5972	471559	5940	4667
56560	5990	468561	5956	4642
562	5965	4630
563	5974	4618
564	5983	4606
565	5990	4593
566	5999	4581
567	6008	4569
568	6019	4559
569	6026	4546
570	6038	4537
571	6048	4525
57572	6116	45557573	6164	45757574	6183	45757575	6217	45757576	6227	45657577	6236	455578	6204	4511
57579	6259	45358580	6265	45158581	6277	45058582	6292	450583	6257	4457
584	6277	4453
585	6295	4447
586	6318	4445
58587	6376	44658588	6394	44658589	6414	44559590	6427	44459591	6445	44459592	6462	44359593	6481	44259594	6497	44259595	6513	44159596	6528	44059597	6541	43959598	6548	43859599	6559	437600	6527	4333
601	6549	4330
602	6560	4319
60603	6612	433604	6579	4295
605	6591	4285
606	6598	4272
607	6610	4262
608	6621	4251
609	6636	4243
610	6648	4233
611	6663	4224
612	6674	4213
613	6683	4201
614	6695	4191
615	6711	4183
616	6717	4169
617	6730	4160
618	6741	4149
619	6748	4136
620	6757	4124
621	6765	4111
622	6774	4099
623	6781	4086
624	6790	4074
625	6800	4063
626	6809	4051
627	6817	4038
628	6823	4024
629	6830	4011
630	6843	4001
631	6849	3988
632	6856	3975
633	6867	3964
634	6872	3950
635	6880	3937
636	6893	3928
637	6904	3917
638	6911	3904
639	6921	3893
640	6933	3883
641	6941	3870
642	6959	3863
643	6974	3855
644	6991	3847
645	7001	3836
646	7009	3824
647	7017	3811
648	7025	3799
649	7033	3787
650	7044	3776
651	7052	3764
652	7061	3752
653	7071	3741
654	7086	3732
655	7100	3723
656	7107	3710
657	7117	3699
658	7128	3688
659	7135	3676
660	7145	3664
661	7154	3653
662	7163	3640
663	7170	3628
664	7180	3617
665	7186	3604
666	7196	3592
667	7202	3579
668	7211	3567
669	7218	3555
670	7226	3543
671	7233	3530
672	7240	3518
673	7246	3504
674	7252	3492
675	7264	3481
676	7278	3472
677	7287	3461
678	7294	3448
679	7300	3435
680	7310	3424
681	7319	3413
682	7331	3402
683	7344	3393
684	7350	3380
685	7369	3373
686	7379	3362
687	7390	3351
688	7396	3338
689	7409	3328
690	7422	3319
691	7432	3308
692	7439	3295
693	7449	3284
694	7459	3273
695	7466	3261
696	7475	3249
697	7484	3238
698	7493	3226
699	7503	3215
700	7511	3204
701	7526	3194
702	7539	3185
703	7551	3175
704	7559	3163
705	7571	3152
706	7578	3140
707	7590	3130
708	7603	3120
709	7617	3111
710	7626	3099
711	7639	3090
712	7649	3078
713	7658	3067
714	7669	3057
715	7679	3045
716	7687	3034
717	7693	3021
718	7701	3009
719	7707	2997
720	7717	2986
721	7723	2973
722	7734	2963
723	7740	2950
724	7748	2939
725	7756	2927
726	7768	2917
727	7776	2905
728	7785	2894
729	7798	2884
730	7805	2872
731	7815	2861
732	7825	2850
733	7836	2839
734	7848	2829
735	7854	2817
736	7865	2806
737	7871	2794
738	7879	2782
739	7885	2770
740	7894	2759
741	7901	2747
742	7910	2736
743	7916	2723
744	7928	2713
745	7936	2702
746	7946	2691
747	7952	2679
748	7959	2667
749	7966	2655
750	7977	2644
751	7983	2632
752	7992	2621
753	7997	2609
754	8007	2598
755	8014	2586
756	8024	2575
757	8030	2563
758	8037	2552
759	8046	2541
760	8057	2530
761	8063	2518
762	8073	2507
763	8081	2496
764	8094	2486
765	8100	2474
766	8110	2463
767	8122	2453
768	8129	2442
76769	8181	24477770	8188	24377771	8212	24277772	8222	24177773	8232	240774	8206	2382
77775	8261	23877776	8271	23777777	8283	23677778	8297	23577779	8311	23478780	8327	23378781	8337	2324
